Local Authority,Calendar Year,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
Craven,2009,295.57525242633176,1178.8073,45.43694779407147,153.50824852008813,0.6481431067375744,63.17851816574198,16.958634161389934,13.809706569550155,55.326,10.47839992681902,160.0635320755091,18.836292596980545
Craven,2010,301.11142166518323,1178.8073,48.36174208370205,165.6983767475403,0.6743428391270558,73.23920936006829,16.354484786317347,14.34925920548935,55.398,11.270581137057274,159.09214450083883,19.792301184991615
Craven,2011,299.0693153318465,1178.8073,44.852372918976904,146.5757835843271,0.6408226499902498,64.93912968008956,14.386515418819823,13.620988799182303,55.459,10.409618850957171,154.1688221967483,21.004859832086275
Craven,2012,301.5739461031453,1178.8073,45.81466710749005,155.13426351130363,0.6449585999303424,59.54374787717516,15.90164948086055,13.685779361999696,55.55269347003257,10.793610838396203,152.67410958529825,18.845911291998057
Craven,2013,295.17494764203616,1178.8073,46.30422283969215,150.10640904439214,0.6326193256612954,58.702166610079345,13.813121770118602,13.419432054235488,55.571374123485384,11.192232448352117,154.0608419663396,16.382336889602094
Craven,2014,304.32032960565255,1178.8073,40.85670568121308,129.3142399716042,0.6140416533792251,58.46615104571818,13.332688761823196,12.981632918872066,55.75853115174914,9.926020787179757,155.39238963916992,12.228258015139378
Craven,2015,309.74738712530785,1178.8073,37.46425986450881,125.82026444450707,0.6146126344872966,53.68665532833028,12.31289520848634,12.947426105144261,55.95782932624696,8.767260366949433,159.3791091905669,17.332028677200416
Craven,2016,309.42613390512605,1178.8073,32.90237668354135,118.19954583425596,0.603078946843481,49.97487170789633,13.34043588854728,12.486329860041792,56.93537436412303,7.672980731958182,163.43417107938689,15.963349184695275
Craven,2017,314.15272391106885,1178.8073,27.365232295228363,112.30034582713685,0.5947174530722416,48.67182873824289,11.348685377569707,12.29242632511998,57.03164343448877,8.19340301788573,163.3517060825074,15.673349869326103
Craven,2018,307.0491114278943,1178.8073,16.929919160365113,110.78654651474197,0.5795721160235683,49.89390043569817,11.287120636694299,11.964671907701295,57.10176146203155,10.012135262659573,165.67496561065047,11.570142196324799
Craven,2019,296.4301726836116,1178.8073,11.654537557635074,107.77944873700817,0.5644627018979077,58.50417420418184,10.801213215057231,11.622669624321079,57.24956271514475,7.1242592031178305,161.76327814996435,11.335669824401347
Craven,2020,290.41539304260124,1178.8073,8.77405234767192,103.80274791416699,0.5290999725290436,60.4774090443397,9.663899002744852,10.879211446369238,57.33015789992649,6.257536725799751,133.29246402976864,11.02340793994285
Craven,2021,296.81380642356766,1178.8073,10.157939277113053,107.02880457877527,0.5519251684074676,67.3806255542447,8.92312037353679,11.39627636315383,57.09,8.021005322638938,141.55806317519622,10.730052867379428
Doncaster,2005,97.91880803608151,568.5513,288.8267446557977,739.7778532561858,5.500785340902477,527.1969136812226,195.14016696924918,10.704164835307202,292.174,115.0780938488597,933.7852614542591,229.7548146893906
Doncaster,2006,95.8263405869871,568.5513,292.2391453583179,733.2985974739656,5.411433907631497,513.5219662226973,188.63845463292589,10.4652463792917,293.99,113.13978574066647,923.5344608490965,216.47903218331007
Doncaster,2007,92.28936274223886,568.5513,272.3407948037828,698.5314962201347,5.179530071248737,482.89549294996914,164.29516152306064,9.94152408013626,296.215,105.08948998919338,926.0463933078654,203.34036386131615
Doncaster,2008,96.85606844576463,568.5513,280.8432789257796,687.7962187795313,5.067728365025183,468.4244164292508,144.40464529972488,9.656097262563986,298.388,105.44063949710086,891.6552360975608,205.84304650722996
Doncaster,2009,93.7326391270187,568.5513,240.28509007434732,628.1509209555376,4.672673332031138,419.4976552501102,140.7209690947814,8.8500869380168,300.184,91.67679132197394,857.0105248656463,185.57990671222055
Doncaster,2010,95.5143377359689,568.5513,236.99942944235806,676.6121915757262,4.790857165507385,455.66922783493914,136.120424148825,9.04034885467107,301.299,95.32176317664312,854.4302994199909,173.18039622908677
Doncaster,2011,96.65713265747051,568.5513,214.84231421455812,590.7783413856472,4.469108189259031,406.72181607052653,132.02233754309654,8.40061517530406,302.468,85.68756434396525,844.5864926390265,169.62127198957694
Doncaster,2012,95.65812511949675,568.5513,242.1466202317568,630.3782335031884,4.605689906406684,428.25796248381135,131.9856238988333,8.659964247521032,302.3766506234689,93.79180175208988,855.2046527890931,141.14796390612975
Doncaster,2013,93.21243491704702,568.5513,225.86691749429815,613.177738763879,4.57720573809556,406.8932892286398,152.72960166159854,8.60163176690379,302.54448728841965,89.00393721492901,857.1148388925744,164.3775145887244
Doncaster,2014,97.45277001070929,568.5513,197.00880638604943,522.2207689854702,4.216930324702816,360.5000800994283,117.96756684882962,7.92130223054109,302.6700848347048,77.63195202783159,880.5040560100127,144.2552177508781
Doncaster,2015,94.03965476261683,568.5513,169.61894901336925,506.7727467086282,4.102488697658113,346.2719304412248,114.74389144094052,7.6889495531003424,303.3542184378521,71.22138356126388,908.8442273051427,120.96249905564068
Doncaster,2016,92.08990251945968,568.5513,150.52139993119684,483.90798877030227,4.264270039048903,314.98765402563924,113.82632265663301,7.950122277060103,304.9583628729859,62.319240449091815,937.9472465876851,268.8565193122955
Doncaster,2017,93.78966562552397,568.5513,117.46313016740666,460.3607710783388,4.37639324054656,321.98769561032253,109.54961737826488,8.129642953282477,306.06560220695866,65.01617183341521,943.3308225660573,376.7061919646295
Doncaster,2018,92.33521225872727,568.5513,96.39976191873595,454.5609678685737,3.925891001891811,348.86586963332536,72.35622145020662,7.268037050511092,307.107739995207,65.51359456614298,944.1462121062118,157.89259298196836
Doncaster,2019,94.80151724729248,568.5513,77.38382313793491,446.8483519723139,3.801477506883019,355.0073813462727,71.2016058064819,7.009788026612289,308.33100376982946,61.20643172880379,930.2512042009951,124.6346630190039
Doncaster,2020,85.0817338243082,568.5513,62.07777421359651,431.5189274451232,3.406659511922396,332.95112487939366,66.704281272535,6.264323137998856,309.18914166672056,56.868453619234735,797.9995149346732,103.65888397197887
Doncaster,2021,91.75085506068822,568.5513,82.20829830811103,444.04083748211923,3.6582268396355517,384.75700471989484,64.87036728705337,6.737466595518973,308.705,67.193314008353,845.5901264930689,99.47882201039495
East Riding of Yorkshire,2005,619.152897696326,2495.097,257.1187736501308,959.0873076702101,1.86347972631156,1455.2381573065907,172.39878368798125,14.207202276668648,327.268,88.82049273536734,869.8881209826313,227.85814095155516
East Riding of Yorkshire,2006,611.0053318885809,2495.097,284.6351222316576,955.4122317026065,1.784852741075202,1253.6207205244953,174.68570585887036,13.553125107501252,328.587,89.53224227487716,867.1786360645817,217.31072915284335
East Riding of Yorkshire,2007,591.7370078601994,2495.097,302.45300585974474,918.7409262460274,1.7386569770367908,1194.5712989197648,165.63553163582756,13.111443662622415,330.865,91.45832927683242,866.6333700586895,206.88833757647956
East Riding of Yorkshire,2008,599.6951579483484,2495.097,291.3991046544287,919.6270273469702,1.6829231410229544,1136.825887479688,156.54092190816283,12.630108764849581,332.464,89.5183923233448,851.9007001300013,153.54928860600654
East Riding of Yorkshire,2009,590.3665444551671,2495.097,259.36251443642294,848.7098939582937,1.6577262781470576,1166.8898757958164,164.30926528685163,12.43039135750144,332.748,81.85204005687376,823.1519121405289,201.54581729593747
East Riding of Yorkshire,2010,587.6842440978903,2495.097,283.88461308542827,924.239149043246,1.6741688601103504,1148.360186442244,163.88400597232692,12.521661336978694,333.599,89.36873820938604,812.347071432211,167.4456920720217
East Riding of Yorkshire,2011,580.3518654481447,2495.097,256.04552854158663,808.216963807741,1.5755408565892963,1063.4539757921846,160.84031245099865,11.746173920971767,334.673,78.05104976787656,798.4183301824647,185.7492386623867
East Riding of Yorkshire,2012,584.0678700605522,2495.097,265.23607637185125,852.3755799700382,1.5982146887342097,1057.1785447499306,165.08593749731608,11.902691345899688,335.0251266147776,80.27507063954856,789.3883394747795,194.09325645264295
East Riding of Yorkshire,2013,581.6579627232451,2495.097,247.98203705756094,831.6176971037277,1.5687266016677601,1074.9181129928334,166.24817798418164,11.697473639917703,334.6128538631151,77.33721677991204,797.9992935682592,136.36453943170474
East Riding of Yorkshire,2014,592.8493391237233,2495.097,221.14946531046982,708.5706326446484,1.518892797270619,1084.8616913931842,160.1866668069421,11.295895825120112,335.5010457305835,68.46561433974223,809.2269593788042,144.47449279401508
East Riding of Yorkshire,2015,592.5720641042058,2495.097,187.6544825836208,687.6374133339253,1.4525848647893222,958.9160087508499,156.60415909068607,10.779601161918116,336.22209986629326,58.142297582083415,833.3996449514581,149.4140679844157
East Riding of Yorkshire,2016,558.5276008689457,2495.097,176.867780150853,655.0119839858834,1.4501277377944917,936.4015543722614,164.30514636214298,10.645208175817512,339.89089817963645,49.75043249483963,861.3865709796786,215.95829897321758
East Riding of Yorkshire,2017,615.8942644279758,2495.097,121.64421902528518,627.034069870488,1.4506407313756489,981.8583938554533,162.23521275791853,10.625640080888067,340.63729896549245,54.26975397456635,866.0993796178003,190.4540434037003
East Riding of Yorkshire,2018,626.1780266684119,2495.097,70.41044895472153,613.814125554054,1.4168694774094301,979.8617597220888,156.69204267907173,10.340488968229765,341.88197418299154,52.83991649753807,864.3789844481806,171.05147795176936
East Riding of Yorkshire,2019,650.1647931299457,2495.097,93.42828651897122,598.1638609746508,1.3991451699723214,936.1833219329379,155.31701169797236,10.170305882298374,343.25446614527016,49.85211527979196,860.8034140358637,147.09011259229462
East Riding of Yorkshire,2020,613.8790554992236,2495.097,56.00030818846124,582.6099567828306,1.2941711440284258,899.1869975542365,155.02311809460286,9.367821507764756,344.69940917164,47.61555036688833,714.1759451301388,160.59160733551178
East Riding of Yorkshire,2021,653.4361575079228,2495.097,67.32660057941878,596.4004381735675,1.2535932242462384,608.6275761121212,154.4705374885412,9.11525717568803,343.143,50.35560582942716,770.4346096364973,226.78516770961983
Hambleton,2005,478.9057161889563,1311.2282,88.29594601693023,273.83235507318716,1.156188724462399,143.4728525533828,0.5909573880240034,17.633965244930064,85.972,40.865037652594495,434.40317898173305,55.66121618232013
Hambleton,2006,480.50623759351424,1311.2282,93.03545606416702,276.6619221679257,1.16126378085062,139.5542380380276,0.8082861557290404,17.50309577665329,86.995,39.88906300437421,439.3248138425082,52.90180022370658
Hambleton,2007,458.3465024774735,1311.2282,89.82968567155352,265.2478466913386,1.1120212074542901,133.8862393924003,-3.1852113188535722,16.617057553586584,87.748,36.60792568749258,436.47343774899207,40.9071398617184
Hambleton,2008,461.41029348522073,1311.2282,89.42772831390326,267.45655887566227,1.0875677005633688,122.74873098336619,-8.20616712628807,16.116830975654317,88.482,35.733531168286866,426.9205507595442,30.558211928149827
Hambleton,2009,464.7500991446649,1311.2282,78.37352822058335,251.62804584942546,1.0502477510809922,111.86344240192344,-7.102683252292359,15.535162369044812,88.645,31.170978991001498,410.4678237159806,35.96323313269067
Hambleton,2010,459.36459340297745,1311.2282,77.39218435465683,272.52084451893035,1.0785765590561396,120.82014386578741,-6.597673549998286,15.873439886115824,89.096,31.83110838776159,410.98397632868983,47.94482278457003
Hambleton,2011,446.44092486284217,1311.2282,77.41403566549366,237.2709036772696,1.022616763735252,116.12208098647453,-8.776038525500798,14.964888489123007,89.602,32.53808454927493,399.77407812335326,40.09986906319177
Hambleton,2012,455.67469088456426,1311.2282,86.1443791672604,249.13955947978087,1.0478335102850391,119.98294335161188,-4.081428794408724,15.359121661155704,89.45491011152977,34.95989975010323,397.0753813391033,35.0534224127186
Hambleton,2013,437.6749896611195,1311.2282,77.12456909680054,245.19073107440812,1.0286780888221385,114.8612713310632,-7.788132196552546,15.100570603762181,89.32322851757951,33.86364717233108,416.4982465939582,31.406396052564872
Hambleton,2014,453.4245681081011,1311.2282,65.26732418936754,210.10213258306783,0.994588447496444,110.02865843387801,-7.953543714698696,14.605001085333624,89.29355171778587,30.059223655659288,417.5450417586145,25.659014737566757
Hambleton,2015,459.5252830626102,1311.2282,54.9418587092678,203.05679996586684,0.9875203650687653,99.93517396221242,-10.01550415477407,14.48764386055834,89.37716603302513,24.869246464338847,428.65209279391837,33.89959994902024
Hambleton,2016,458.0627135140835,1311.2282,46.16390343163382,192.91179963052946,0.9760022791175175,91.88141419594025,-4.881062904650718,14.19303081923319,90.16831767242664,21.533835961707588,441.91186955906005,32.17723825485551
Hambleton,2017,466.094717098889,1311.2282,31.056445003627722,181.92159337426452,0.9833307420654654,107.42571193673314,-7.594962401102664,14.294527555301725,90.20032274133797,25.05638811831702,453.4685017851135,31.942604007322444
Hambleton,2018,457.81413507280666,1311.2282,20.706889031457724,180.72343521202538,0.9651842033235148,112.90741109589833,-8.070429629353892,14.013064663176454,90.31405877388194,23.261770777113547,457.5564540317725,20.67708000060602
Hambleton,2019,445.039802274626,1311.2282,18.154349313912476,173.60505947695987,0.9349104865777047,114.21631437016211,-9.65036932897121,13.552125813920698,90.45673064938543,13.13359265228623,448.9468424561716,22.43540326125998
Hambleton,2020,433.9063013841539,1311.2282,14.872026439011135,169.25285262338969,0.8572266842743917,111.2612517362149,-9.052405102300261,12.393249016684042,90.69613631582007,12.086117943597667,370.2985548067599,21.39510238225178
Hambleton,2021,456.9176643422553,1311.2282,17.94158757517928,174.53631781270892,0.9316629409744674,124.99869507723872,-8.362947811586732,13.41896944210219,91.037,14.479550224691359,418.96487443668934,22.146979443480806
Harrogate,2005,412.2576979885245,1309.1279,175.5710151524827,473.2089010032025,1.5084194505044595,151.96590766571734,-16.04527661574458,12.850103710853936,153.673,109.31954948602532,572.7522707245089,95.68392215334113
Harrogate,2006,411.2897709806555,1309.1279,190.4142579395701,472.65576321842184,1.5318379937228352,153.72975159183622,-16.86064904618786,12.999104530126326,154.27,114.77821213593178,588.5818893718314,90.78285967052864
Harrogate,2007,404.716107976602,1309.1279,183.3021399723588,452.53966051936095,1.5088380444535572,150.707707211645,-20.252070046682174,12.738037380862536,155.068,110.06038001063635,625.5522731402611,68.63578179140922
Harrogate,2008,404.6270198141582,1309.1279,189.42610469782298,456.0170168842457,1.430231521712805,137.12809608425135,-23.914902650516495,12.014373366360305,155.843,112.15593302391864,547.084164788654,49.832555891154115
Harrogate,2009,393.33912029346095,1309.1279,171.94620284630625,421.06818172300973,1.356410851348575,128.98267625867402,-24.520933386790038,11.3456261180567,156.511,101.95097790527164,524.5855503477087,58.36351337553112
Harrogate,2010,398.992994129111,1309.1279,179.19238501238962,454.4968941971461,1.4084934390137662,137.6826963905405,-24.834511109748043,11.704985418615191,157.531,106.88855780490191,533.2014261206923,58.277615434836584
Harrogate,2011,389.63628171376854,1309.1279,168.38535110965415,400.7867786060099,1.3336958397466048,125.91857457179768,-26.920160961320086,11.002933105160661,158.683,98.85615115719895,527.788297873577,61.52715985552289
Harrogate,2012,396.0318084933685,1309.1279,182.15266357016407,427.30250158418204,1.3635663796966166,131.25527309233723,-23.447269424682744,11.216628812611086,159.14610539272095,107.82903163233857,507.6400548678612,56.31872734726593
Harrogate,2013,387.7341596932182,1309.1279,166.70357057156752,416.0487737736896,1.313909838960082,122.17796434181855,-27.681676481314533,10.808574634213118,159.13995013019354,99.35297252705027,505.2268462917067,50.51341754941421
Harrogate,2014,397.72724330871114,1309.1279,140.95225429256644,354.4800533608354,1.2357261924018204,113.60071529978745,-27.700281129809525,10.144889118641851,159.46193362146516,83.95696651602131,515.7291122066263,38.97757137925252
Harrogate,2015,399.7181274775122,1309.1279,129.3728405339701,345.93657193700744,1.2315132516071243,107.29078574985299,-29.51712803135457,10.084059758193229,159.8769142149022,77.4760336346021,528.6593222636802,53.271803333335214
Harrogate,2016,388.29436509741487,1309.1279,111.97203967006268,327.19940504191555,1.1859555169587666,97.39088427490758,-25.936267561249466,9.610864440252115,161.54295641786382,63.07766328439789,541.5501648378739,49.01920076432121
