,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
51,Lincoln,76.84330356118629,606.7334,1442.9394430419572,2829.5778654116875,237.09424660362106,1140.4371033078578,35.11868898356097,89.97748271960835,1620.5176270026661,943.2473466843841,1165.5416330811247,828.2356960607981
52,Mansfield,211.85925528206593,1303.8507000000002,1000.2730476273616,3581.3787664618258,115.99653098797837,1245.4119914987716,-66.21191165426406,84.54097780192575,1800.9983649656374,361.9308749475587,1997.8238657531938,564.1316469215635
53,Melton,2284.1322938109174,8183.470200000003,456.9890687745796,1859.563768411266,18.199102161127882,1721.565013150659,-115.35176858290502,173.6643038428556,859.5836044155079,129.84566851056053,1962.7572752261967,461.19339848376177
54,Newark and Sherwood,2455.672332089299,11081.2018,1600.9260111972042,4254.955646159147,31.672387195373584,4750.461029950473,-468.72950594481125,177.1903595616687,1990.9786698801072,332.7634923899116,6967.516169728929,751.618000881068
55,North East Derbyshire,1332.6369610330576,4685.5978000000005,590.7915263898514,3495.8944477762225,45.77130748218666,2342.1949849418615,-315.806589933447,126.77717144781663,1695.8648758377358,282.5503026879427,4202.147152313065,685.2346054771701
56,North Kesteven,3928.124104669297,15682.012099999994,918.1727737976805,3892.1681684609257,20.558510059219152,1580.7887629657653,3182.3742623483367,173.26083129256534,1874.3727345668767,604.2469488237799,4170.770367309822,687.990112015359
57,North Northamptonshire,2495.6308980932045,16772.109899999996,3821.245898630124,10934.087720104195,46.114061119627436,9850.413844146617,-490.7585611546033,140.19286176835894,5585.553654651976,1018.504759776703,14102.337170399884,3764.4265661043737
58,North West Leicestershire,1061.6897299830218,4748.575999999999,1462.3315035937148,3377.801540173567,75.25732700220524,6421.320222498892,-287.3218791829573,219.82060875179891,1636.5682526083745,236.50853007416273,7957.864627765715,791.2843619658695
59,Nottingham,79.63199932737848,1268.4243999999999,4480.689626853409,8763.92702739885,381.6569186694066,2681.4692238309676,31.65346263777732,94.23431494715534,5184.300330049381,3607.9197103517727,6683.704769905396,2147.6481837586125
60,Oadby and Wigston,100.0193175107648,399.94369999999986,410.4890061014391,1881.663570830224,192.94180468790677,754.9072388100833,16.89091544240989,80.35380795817042,962.2833062057773,257.44466187317914,815.4830749361014,302.27040576396087
61,Rushcliffe,1531.036103264714,6956.938900000001,1596.5171545285718,4178.1174156698935,39.113949340806904,2511.83056173624,108.16845209137632,142.4616458489319,1917.1580559569206,692.0780973813127,4927.6784803335295,461.2417174466499
62,Rutland,1176.171159929166,6693.732999999998,637.3463848701076,1460.7481977377959,53.232061157405184,14232.311313790879,-147.65059769366607,549.874053703816,652.2703810420171,299.6603894507288,2880.771903400409,420.71209718171656
63,South Derbyshire,2077.9924882203745,5748.157300000002,623.5515166169956,3214.4359625419715,44.80862220762211,3220.847457094789,-317.5028682874148,157.2894155178733,1654.6746734462502,285.7120634030153,5344.988563161301,700.9753375833857
64,South Holland,2668.493288315432,13863.562899999997,846.8922519871505,3214.8638324491785,17.930845014212753,2348.6780732492402,1692.4096081558985,164.48079843025536,1522.420627435377,140.65321809489973,3101.8397710471545,608.8404099181012
65,South Kesteven,2978.9602831895386,16023.961999999996,1702.1990439342353,4786.179255792285,23.238994830999125,3314.5740591146023,1281.858052971401,161.21825031586494,2325.3948736053503,514.5422959564665,6118.809131447541,1207.6290593660688
66,West Lindsey,4083.988850708306,19680.0891,722.1407138482531,3341.186503652763,13.544315327411107,1395.7692445959947,1320.982956173792,173.1806349952717,1547.0347936520468,311.6871015384871,3939.3076889661606,564.5447312189643
67,West Northamptonshire,5015.252625651676,23466.7252,5215.845293083214,12974.959675415314,42.01272363052037,5849.003071287894,-333.163144805493,150.50603744551543,6621.759143986317,1747.6173951346627,23910.99408018857,3613.66984763051
68,Babergh,1290.6333824023643,10397.8783,778.0477519231772,3281.1399190610437,19.62448613794844,2051.425402196977,-217.62286036966583,135.2633858227608,1514.3464046527447,191.0560628365341,4113.625104025257,514.8139768904822
